Iterations, Time, Avg Cost, Best Cost 
1, 33.4601, 5529.66, 4381
2, 51.7135, 5296.94, 3873
3, 69.7923, 5053.31, 3827
4, 93.9071, 4911.15, 4007
5, 104.086, 4893.67, 3803
6, 130.678, 4805.82, 3772
7, 156.897, 4642.17, 3158
8, 174.225, 4541.49, 3695
9, 204.745, 4411.46, 3233
10, 222.804, 4418.11, 3614
11, 236.212, 4362.45, 3452
12, 256.86, 4291.48, 3488
13, 290.005, 4184.23, 3326
14, 299.111, 4105.1, 3168
15, 315.397, 4115.98, 3217
16, 348.19, 4148.86, 3143
17, 372.92, 4074.56, 3278
18, 398.977, 4054.72, 3177
19, 426.773, 3959.57, 3269
20, 438.774, 3975.3, 3261
21, 466.842, 3994.96, 3328
22, 522.357, 3881.93, 3092
23, 495.436, 3874.42, 3083
24, 560.864, 3812.98, 3050
25, 566.133, 3834.17, 3062
26, 566.024, 3811.99, 3058
27, 621.9, 3781.01, 3062
28, 604.761, 3734.13, 3026
29, 671.037, 3725.73, 2869
30, 646.856, 3738.97, 3089
31, 756.125, 3706.64, 2992
32, 717.245, 3672.56, 3015
33, 758.756, 3634.84, 2930
34, 788.398, 3611.39, 2854
35, 782.479, 3636.69, 2742
36, 829.483, 3616.5, 2812
37, 849.459, 3615.83, 2943
38, 846.999, 3576.29, 2996
39, 870.286, 3617.83, 2911
40, 906.399, 3564.1, 2956
41, 918.772, 3594.97, 2963
42, 946.941, 3543.74, 3056
43, 917.697, 3539.93, 2923
44, 920.4, 3598.5, 2889
45, 1001.92, 3511.34, 2794
46, 1054.45, 3527.53, 2995
47, 991.022, 3513.66, 2912
48, 1095.66, 3510.47, 2795
49, 1043.77, 3500.81, 2990
50, 1083.34, 3480.93, 2874
51, 1129.03, 3481.46, 2895
52, 1172.18, 3444.24, 2692
53, 1213.06, 3457.62, 2650
54, 1205.12, 3423.28, 2897
55, 1238.74, 3413.02, 2924
56, 1168.77, 3454.16, 2745
57, 1270.57, 3434.59, 2852
58, 1245.63, 3424.91, 2701
59, 1307.47, 3408.92, 2821
60, 1307.46, 3425.21, 2747
61, 1259.22, 3452.53, 2795
62, 1368.36, 3399.78, 2815
63, 1444.18, 3384.41, 2924
64, 1366.33, 3389.35, 2677
65, 1389.68, 3398.9, 2700
66, 1465.24, 3413.81, 2796
67, 1447.83, 3411.7, 2764
68, 1529.53, 3358.88, 2749
69, 1582.33, 3351.76, 2748
70, 1520.79, 3337.77, 2809
71, 1677.56, 3331.62, 2879
72, 1618.07, 3326.26, 2796
73, 1643.2, 3339.8, 2881
74, 1683.36, 3296.47, 2784
75, 1533.53, 3364.44, 2673
76, 1646.93, 3309.69, 2783
77, 1665.28, 3290.78, 2786
78, 1686.37, 3265.52, 2780
79, 1641.99, 3344.48, 2687
80, 1633.61, 3336.14, 2794
81, 1635.01, 3315.54, 2700
82, 1757.65, 3298.5, 2698
83, 1714.21, 3339.65, 2814
84, 1737.51, 3278.37, 2670
85, 1780.21, 3289.25, 2795
86, 1800.56, 3281.89, 2781
87, 1739, 3330.86, 2689
88, 1772.77, 3285.21, 2761
89, 1674.53, 3283.37, 2760
90, 1850.84, 3279.75, 2732
91, 1946.61, 3253.15, 2790
92, 1919.7, 3240.18, 2783
93, 1982.01, 3259.39, 2708
94, 2054.75, 3259.12, 2785
95, 1981.16, 3230.21, 2708
96, 1935.46, 3231.56, 2627
97, 2045.14, 3278.09, 2783
98, 2140.84, 3218.94, 2637
99, 2115.17, 3246.52, 2749
100, 2111.88, 3225.94, 2720
101, 2020.05, 3294.54, 2723
102, 2029.41, 3242.6, 2801
103, 2095.25, 3226.93, 2735
