Iterations, Time, Avg Cost, Best Cost 
1, 14.7231, 5840.34, 4319
2, 18.4916, 5734.64, 4328
3, 22.9582, 5622.86, 4395
4, 26.2234, 5545.94, 4271
5, 30.1556, 5496.25, 4278
6, 34.1738, 5403.34, 3939
7, 38.215, 5379.43, 4020
8, 44.6404, 5324.95, 3993
9, 46.7318, 5265.11, 3997
10, 50.6552, 5233.7, 4049
11, 54.7339, 5183.5, 3995
12, 59.6404, 5133.76, 4099
13, 63.2606, 5100.5, 3692
14, 67.0297, 5052.43, 3959
15, 70.4242, 5033.86, 3747
16, 74.7231, 4991.36, 3885
17, 79.4046, 4961.71, 3908
18, 83.0663, 4936.33, 3894
19, 87.1132, 4905.32, 3828
20, 91.272, 4864.27, 3756
21, 95.536, 4845.89, 3871
22, 99.1498, 4818.31, 3699
23, 103.168, 4789.11, 3816
24, 107.933, 4779.23, 3666
25, 111.003, 4729.85, 3802
26, 112.446, 4711.31, 3753
27, 115.149, 4697.65, 3761
28, 119.527, 4680.29, 3558
29, 123.262, 4658.87, 3687
30, 126.201, 4644.76, 3439
31, 132.781, 4621.89, 3633
32, 135.275, 4592.66, 3448
33, 138.861, 4586.66, 3608
34, 142.692, 4583.48, 3557
35, 146.663, 4561.05, 3472
36, 150.786, 4557.06, 3535
37, 154.412, 4528.75, 3579
38, 158.629, 4490.47, 3327
39, 162.477, 4494.94, 3450
40, 166.375, 4480.37, 3478
41, 170.317, 4461.07, 3443
42, 174.424, 4437.52, 3437
43, 178.727, 4454.65, 3200
44, 181.942, 4440.53, 3544
45, 185.928, 4402.77, 3399
46, 189.813, 4388.74, 3412
47, 193.862, 4390.86, 3309
48, 195.133, 4395.57, 3360
49, 197.81, 4359.4, 3327
50, 210.536, 4352.48, 3354
51, 206.464, 4337.58, 3290
52, 211.956, 4318.19, 3375
53, 217.346, 4315.05, 3334
54, 218.914, 4288.26, 3196
55, 225.984, 4300.18, 3418
56, 228.939, 4271.25, 3257
57, 233.128, 4279.3, 3331
58, 236.473, 4246.33, 3082
59, 240.15, 4239.59, 3363
60, 244.671, 4244.22, 3247
61, 248.606, 4221.12, 3168
62, 251.892, 4208.82, 3324
63, 256.812, 4209.48, 3068
64, 258.923, 4194.05, 3265
65, 264.843, 4204.68, 3326
66, 267.308, 4182.37, 3296
67, 271.452, 4164.38, 3325
68, 276.005, 4168.9, 2988
69, 279.109, 4167.46, 3291
70, 282.045, 4141.16, 3163
71, 288.357, 4142.54, 3237
72, 291.059, 4130.48, 3291
73, 294.844, 4121.04, 3217
74, 298.613, 4131.1, 3328
75, 302.609, 4105.23, 3227
76, 306.502, 4098.23, 3060
77, 310.732, 4111.24, 3229
78, 314.398, 4089.75, 3047
79, 330.446, 4075.28, 2997
80, 339.96, 4070.48, 3062
81, 338.199, 4076.03, 3134
82, 342.102, 4052.52, 3234
83, 337.98, 4056.13, 3181
84, 340.026, 4055.4, 3022
85, 341.289, 4063.57, 3135
86, 345.552, 4041.03, 3090
87, 348.997, 4035.87, 3007
88, 360.313, 4027.07, 3064
89, 356.853, 4014.61, 3048
