Iterations, Time, Avg Cost, Best Cost 
1, 29.9574, 5519.79, 4447
2, 43.119, 5337.72, 4605
3, 66.7391, 5140.49, 4185
4, 87.0869, 4996.63, 3623
5, 97.8043, 4802.42, 3769
6, 119.581, 4709.92, 3861
7, 137.041, 4694.1, 3828
8, 153.465, 4556.55, 3202
9, 178.729, 4517.78, 3612
10, 206.407, 4385.75, 3434
11, 212.526, 4374.76, 3268
12, 254.741, 4289.95, 3614
13, 283.872, 4173.28, 3192
14, 305.892, 4190.87, 3307
15, 305.918, 4173.02, 3319
16, 333.25, 4085, 2883
17, 339.152, 4078.01, 3175
18, 367.531, 3995.59, 3294
19, 368.243, 4020.56, 3262
20, 393.687, 3958.85, 3234
21, 463.373, 3989.85, 3177
22, 427.103, 3977.04, 3281
23, 469.835, 3903.71, 2988
24, 509.501, 3813.71, 2929
25, 481.368, 3880.78, 3023
26, 519.871, 3811.45, 3196
27, 526.95, 3864.04, 2982
28, 575.221, 3839.63, 3150
29, 611.811, 3728.98, 2901
30, 570.017, 3834.49, 3021
31, 661.854, 3694.14, 3052
32, 633.407, 3735.45, 2986
33, 689.747, 3684.23, 3189
34, 691.224, 3691.85, 3093
35, 711.578, 3658.73, 2821
36, 724.659, 3690.13, 3035
37, 773.651, 3673.05, 2984
38, 798.308, 3648.89, 2895
39, 804.613, 3567.94, 2961
40, 821.4, 3609.74, 2805
41, 785.607, 3664.45, 3013
42, 821.809, 3590.8, 2863
43, 831.362, 3634.02, 2986
44, 816.954, 3589.63, 2989
45, 907.257, 3532.22, 2858
46, 903.835, 3552.78, 2970
47, 988.189, 3501.39, 2891
48, 913.879, 3506.92, 2973
49, 974.232, 3519.97, 2835
50, 1037.91, 3453.82, 2898
51, 1027.9, 3462.97, 2831
52, 1110.69, 3425.46, 2805
53, 1005.03, 3493.01, 2774
54, 1149.07, 3456.92, 2957
55, 1045.62, 3481.78, 2881
56, 1075.86, 3492.28, 2959
57, 1096.45, 3430.13, 2856
58, 1024.44, 3486.36, 2863
59, 1234.54, 3409.95, 2921
60, 1196.44, 3465.09, 2878
61, 1252.4, 3404.57, 2811
62, 1232.08, 3453.65, 2799
63, 1295.4, 3360.24, 2760
64, 1176.45, 3417.7, 2777
