Iterations, Time, Avg Cost, Best Cost 
1, 4.94095, 6970.1, 5333
2, 6.22083, 6864.01, 5077
3, 7.53961, 6716.94, 5092
4, 8.6095, 6617.09, 5262
5, 10.7112, 6539.99, 4850
6, 11.6129, 6459.19, 4796
7, 13.4604, 6364.07, 5009
8, 14.6689, 6282.26, 4785
9, 16.1602, 6202.41, 4924
10, 17.6571, 6125.26, 4544
11, 19.2574, 6083.6, 4640
12, 20.6004, 6025.26, 4662
13, 22.0952, 5957.79, 4382
14, 24.8357, 5889.36, 4212
15, 27.2041, 5844.7, 4453
16, 28.0759, 5780.49, 4408
17, 28.9339, 5737.2, 4241
18, 30.428, 5684.52, 4356
19, 32.037, 5642.15, 4407
20, 34.5593, 5594.62, 4557
21, 36.7338, 5560.16, 4196
22, 37.4047, 5529.57, 3992
23, 39.7888, 5483.15, 4373
24, 41.9395, 5445.58, 4042
25, 43.8211, 5417.27, 3907
26, 45.5175, 5388.93, 4240
27, 46.9959, 5318.77, 4205
28, 47.9994, 5327.47, 3895
29, 49.8106, 5315.54, 4209
30, 51.7484, 5261.45, 3811
31, 53.9014, 5248.25, 4141
32, 55.0218, 5217.99, 3850
33, 57.5798, 5185.26, 3767
34, 59.2263, 5135.32, 3895
35, 61.3098, 5112.52, 4143
36, 65.1744, 5107.06, 3823
37, 68.3765, 5083.15, 4048
38, 67.7462, 5065.37, 4026
39, 70.0438, 5033.09, 3582
40, 71.4497, 5017.54, 3966
41, 73.2924, 4996.08, 3875
42, 74.5852, 4956, 3836
43, 75.8612, 4969.21, 4025
44, 77.8835, 4936.5, 3818
45, 79.1238, 4915.52, 3602
46, 82.0358, 4890.86, 3719
47, 82.8311, 4867.25, 3727
48, 84.2856, 4871.58, 3757
49, 86.3523, 4845.37, 3714
50, 86.9057, 4831.29, 3891
51, 88.1872, 4827.75, 3698
52, 91.0406, 4804.44, 3794
53, 91.8371, 4766.27, 3764
54, 98.4245, 4758.39, 3686
55, 98.7619, 4749.74, 3823
56, 98.2232, 4756.74, 3723
57, 99.3623, 4709.46, 3508
58, 101.54, 4719.1, 3633
59, 102.308, 4696.62, 3687
60, 105.603, 4694, 3567
61, 107.673, 4655.29, 3766
62, 109.881, 4661.37, 3667
63, 111.346, 4648.91, 3729
64, 112.884, 4618.12, 3508
65, 115.401, 4618.16, 3620
66, 120.894, 4587.67, 3474
67, 120.073, 4615.9, 3467
68, 119.529, 4592.89, 3538
69, 120.564, 4576.47, 3636
70, 129.893, 4580.48, 3538
71, 127.472, 4540.54, 3511
72, 128.108, 4518.38, 3377
73, 129.373, 4554.07, 3308
74, 130.909, 4535.02, 3466
75, 131.345, 4516.68, 3372
76, 133.664, 4516.93, 3618
77, 139.635, 4488.99, 3417
78, 140.073, 4474.73, 3482
79, 141.582, 4481.72, 3657
80, 142.87, 4456.67, 3489
81, 146.401, 4450.27, 3564
82, 148.15, 4442.15, 3391
83, 149.615, 4451.96, 3525
84, 151.065, 4429.62, 3615
85, 153.42, 4417.85, 3490
86, 155.024, 4405, 3535
87, 157.725, 4416.36, 3496
88, 163.283, 4382.01, 3446
89, 163.543, 4383.5, 3366
90, 163.652, 4382.29, 3459
91, 164.485, 4366.42, 3359
92, 167.417, 4374.62, 3367
93, 170.946, 4354.99, 3432
94, 169.991, 4331.08, 3544
95, 171.732, 4345.72, 3304
