Iteration, Time, Cost, Solution 
0, 2910.67, 3887, 00>26>15>24>18>14>03>12>01>28>25>20>23>07>27>11>05>09>13>17>19>04>08>02>16>21>10>06>22>00
1, 11997.7, 2976, 00>27>04>01>20>23>26>15>18>24>06>22>07>05>11>08>25>02>28>19>09>03>17>13>16>21>10>14>12>00
2, 6433.17, 3677, 00>18>14>17>01>28>02>25>27>23>26>15>24>06>22>05>11>08>04>20>10>21>16>13>03>09>19>12>07>00
3, 9799.9, 3609, 00>04>05>27>26>18>10>14>03>09>19>20>08>11>07>22>06>24>15>23>13>21>16>17>12>01>28>02>25>00
4, 12471.4, 3407, 00>23>24>18>09>19>01>28>02>25>08>11>27>07>26>12>03>14>10>13>21>16>17>20>04>05>15>06>22>00
5, 8861.41, 3410, 00>27>23>12>01>04>08>25>28>02>17>13>21>14>18>20>19>09>03>16>10>24>06>22>15>26>07>11>05>00
6, 6972.01, 3552, 00>09>17>03>18>26>08>04>19>14>13>16>21>10>24>06>22>07>27>11>05>20>25>02>28>01>12>15>23>00
7, 9222.32, 3021, 00>23>17>13>16>21>10>14>03>12>09>19>01>28>02>25>08>11>07>26>15>22>06>24>18>20>04>05>27>00
8, 8497.55, 3496, 00>01>19>17>13>10>24>23>04>08>25>28>02>16>21>06>22>07>26>15>18>14>03>09>12>20>05>11>27>00
9, 6012.25, 3554, 00>20>01>19>16>21>13>17>09>12>18>24>06>22>23>05>11>08>25>03>14>10>15>26>07>27>28>02>04>00
