Iterations, Time, Avg Cost, Best Cost 
1, 120.268, 5567.8, 5180
2, 154.954, 5437.6, 5064
3, 608.496, 4986.5, 4483
4, 885.998, 5222.6, 4672
5, 406.532, 4637, 4131
6, 1312.51, 4721.6, 4427
7, 1167.81, 4563.7, 3445
8, 3943.55, 4447.9, 3604
9, 7724.62, 4361.5, 3717
10, 1522.8, 4250.9, 3748
11, 1711.03, 4421.9, 3977
12, 2507.62, 4226.7, 3412
13, 1757.54, 4234.7, 3321
14, 3077.41, 4088.3, 3056
15, 2365.66, 4224.2, 3715
16, 2564.27, 3997, 3450
17, 3117.92, 3952.2, 3520
18, 2679.53, 4035.2, 3278
19, 3194.28, 3974.5, 3171
20, 3652.31, 3993.5, 3558
21, 4586.29, 3884.7, 3425
22, 3429.89, 3811.2, 3586
23, 4220.57, 3712.8, 3255
24, 6976.88, 3705.8, 3188
25, 5459.05, 3789.7, 3185
26, 4474.7, 3716.1, 3198
27, 6095.26, 3981.3, 3125
28, 7172.41, 3623.3, 2996
29, 5316.4, 3766.2, 3015
30, 4586.04, 3748.4, 3314
31, 8502.57, 3652.1, 2807
32, 9290.58, 3561.1, 3115
33, 5576.12, 3536.7, 3223
34, 7562.56, 3523.8, 3202
35, 5852.57, 3614, 3272
36, 4774.38, 3897.6, 3518
37, 11364.7, 3771.8, 3326
38, 7809.06, 3386.2, 2951
39, 6409.47, 3477, 3131
40, 7225, 3491.7, 3166
41, 5484.06, 3560.3, 3156
42, 8720.34, 3590.7, 3201
43, 6909.88, 3547.5, 3287
44, 7587.23, 3594.4, 2972
45, 7720.06, 3542.8, 2792
46, 10216.5, 3608.4, 3108
47, 6871.84, 3520.4, 3027
48, 9489.32, 3546.6, 3182
49, 12783.3, 3522.1, 2967
50, 8317.83, 3458.9, 2976
