Iterations, Time, Avg Cost, Best Cost 
1, 43.6026, 6926.89, 5865
2, 53.2501, 6273.91, 5259
3, 56.2268, 6040.82, 5030
4, 64.2099, 5650.1, 4964
5, 69.6955, 5448.43, 4543
6, 74.2784, 5189.76, 4479
7, 90.7869, 4973.61, 4181
8, 89.2665, 4814.51, 3979
9, 96.663, 4715.19, 4018
10, 102.018, 4582, 3738
11, 106.846, 4449.68, 3884
12, 114.704, 4379.98, 3712
13, 120.85, 4235.07, 3570
14, 126.138, 4269.93, 3544
15, 133.336, 4222.02, 3719
16, 139.934, 4117.31, 3366
17, 146.495, 4033.73, 3367
18, 155.516, 4028.19, 3465
19, 163.68, 3937.09, 3414
20, 170.832, 3932.12, 3229
21, 176.55, 3892.54, 3386
22, 192.026, 3842.25, 3252
23, 281.218, 3797.09, 3270
24, 208.041, 3736.81, 3285
25, 201.271, 3693.71, 3106
26, 211.904, 3671.23, 3141
27, 230.619, 3678.7, 2986
28, 246.225, 3679.82, 3138
29, 271.228, 3618.41, 3094
30, 282.79, 3612.76, 2938
31, 277.609, 3573.07, 3091
32, 339.094, 3581.3, 3135
33, 319.805, 3572.77, 2964
34, 262.972, 3548.67, 3046
35, 275.1, 3506.79, 2930
36, 279.727, 3509.1, 2935
37, 282.076, 3522.7, 3002
38, 286.655, 3509.59, 3022
39, 289.352, 3484.23, 3034
40, 295.422, 3424.07, 2876
41, 302.915, 3486.36, 2962
42, 309.68, 3419.45, 2821
43, 316.343, 3431.77, 2862
44, 319.898, 3426.52, 2959
45, 327.179, 3421.18, 2767
46, 332.61, 3351.65, 2883
47, 341.897, 3359.26, 2972
48, 347.737, 3415.89, 2670
49, 351.217, 3341.66, 2806
50, 359.933, 3336.11, 2921
51, 365.502, 3377.93, 2812
52, 373.683, 3328.96, 2883
53, 381.925, 3319.44, 2783
54, 384.507, 3342.87, 2887
55, 390.282, 3306.25, 2831
56, 400.153, 3299.28, 2867
57, 402.401, 3347.16, 2768
58, 409.429, 3339.55, 2773
59, 417.072, 3309.82, 2755
60, 424.508, 3265.4, 2702
61, 426.832, 3318.82, 2787
62, 435.719, 3262.58, 2818
63, 441.111, 3270.29, 2794
64, 454.071, 3294.87, 2770
65, 460.347, 3254.94, 2621
66, 466.095, 3276.12, 2785
67, 541.592, 3222.51, 2788
68, 472.206, 3266.37, 2797
69, 492.109, 3241.06, 2734
70, 483.519, 3224.64, 2841
71, 500.589, 3242.48, 2663
72, 498.935, 3218.17, 2806
73, 504.553, 3204.13, 2806
74, 513.169, 3185.41, 2775
75, 519.518, 3223.77, 2803
76, 524.748, 3236.07, 2724
77, 529.895, 3231.88, 2784
78, 539.227, 3220.1, 2735
79, 541.986, 3212.13, 2639
80, 551.149, 3186.88, 2680
81, 556.066, 3187.68, 2751
82, 571.236, 3166.58, 2713
83, 569.275, 3184.69, 2675
84, 577.275, 3219.64, 2765
85, 583.822, 3181.44, 2701
86, 590.205, 3175.86, 2747
87, 601.721, 3143.68, 2787
88, 600.858, 3211.29, 2800
89, 606.637, 3201.11, 2624
90, 616.445, 3181.36, 2607
91, 619.009, 3168.52, 2751
92, 626.129, 3162.73, 2766
93, 634.391, 3166.3, 2677
94, 638.237, 3149.05, 2763
95, 645.936, 3206.14, 2634
96, 652.184, 3164.15, 2694
97, 664.603, 3179.95, 2758
98, 666.034, 3157.47, 2688
99, 669.438, 3129.95, 2687
100, 677.555, 3139.53, 2760
101, 685.061, 3148.35, 2702
102, 690.213, 3104.95, 2740
103, 695.43, 3168.81, 2730
104, 702.961, 3097.36, 2703
105, 709.69, 3132.78, 2705
106, 716.57, 3140.57, 2720
107, 722.328, 3150.02, 2739
108, 728.959, 3145.22, 2703
109, 735.517, 3118.68, 2726
110, 740.365, 3100.54, 2724
111, 747.084, 3119.34, 2674
112, 754.453, 3109.65, 2713
113, 760.652, 3101.67, 2748
114, 766.279, 3102.1, 2613
115, 772.247, 3113.46, 2725
116, 779.144, 3088.3, 2749
117, 786.155, 3085.49, 2755
118, 790.824, 3073.27, 2692
119, 800.165, 3115.5, 2624
120, 804.188, 3067.6, 2670
121, 833.63, 3113.73, 2713
122, 817.439, 3079.88, 2644
123, 821.151, 3090.35, 2657
124, 837.148, 3090.48, 2670
125, 853.125, 3064.38, 2634
126, 849.255, 3065.07, 2758
127, 846.507, 3049.99, 2653
128, 857.357, 3121.09, 2665
129, 852.644, 3070.6, 2681
130, 859.984, 3100.52, 2752
131, 890.086, 3065.02, 2630
132, 895.395, 3060.4, 2674
133, 890.415, 3096.34, 2774
134, 896.461, 3103.65, 2643
135, 902.546, 3048.01, 2689
136, 908.225, 3060.28, 2573
137, 917.663, 3085.31, 2694
138, 921.403, 3064.4, 2652
139, 926.694, 3037.57, 2642
140, 932.597, 3090.18, 2685
141, 942.669, 3080.65, 2644
142, 947.555, 3044.36, 2553
143, 960.537, 3029.12, 2613
144, 960.108, 3061.45, 2657
