Iterations, Time, Avg Cost, Best Cost 
1, 41.5038, 7111.15, 6026
2, 44.731, 6597.24, 5589
3, 48.4226, 6317.84, 5294
4, 51.1826, 6148.7, 4913
5, 53.3321, 5893.65, 5119
6, 57.1483, 5677.36, 4766
7, 59.3389, 5551.38, 4521
8, 62.8838, 5327.86, 4450
9, 66.2601, 5313.73, 4358
10, 69.612, 5183.04, 4196
11, 76.161, 5051.34, 4379
12, 80.2534, 4989.14, 3942
13, 80.4662, 4895.74, 4182
14, 82.8543, 4843.64, 4194
15, 86.4115, 4793.74, 4216
16, 89.5713, 4679.35, 3893
17, 93.0115, 4628.98, 3708
18, 97.4098, 4606.69, 3849
19, 101.652, 4519.69, 3780
20, 102.959, 4531.09, 3503
21, 106.346, 4431.03, 3743
22, 109.836, 4373.87, 3754
23, 114.554, 4339.92, 3488
24, 116.425, 4274.07, 3674
25, 119.641, 4317.04, 3326
26, 133.478, 4235.2, 3607
27, 135.89, 4241.05, 3659
28, 141.882, 4200.99, 3611
29, 139.085, 4143.02, 3370
30, 139.256, 4169.87, 3579
31, 141.209, 4098, 3461
32, 143.213, 4071.86, 3488
33, 147.927, 4067.14, 3506
34, 151.475, 4055.23, 3363
35, 153.119, 4007.06, 3463
36, 156.52, 3992.45, 3342
37, 160.913, 3955.15, 3312
38, 163.278, 3968.05, 3332
39, 166.805, 3906.89, 3272
40, 170.436, 3886.11, 3384
41, 176.823, 3877.95, 3247
42, 180.644, 3870.8, 3254
43, 187.088, 3854.31, 3401
44, 184.313, 3872.09, 3167
45, 186.855, 3846.98, 3200
46, 190.306, 3846.59, 3256
47, 197.298, 3832.67, 3295
48, 196.901, 3800.2, 3016
49, 199.839, 3793.7, 3363
50, 203.065, 3790.92, 3142
51, 206.721, 3791.93, 3194
52, 210.786, 3730.4, 3123
53, 214.369, 3772.55, 3244
54, 216.429, 3728.95, 3219
55, 220.471, 3750.6, 3058
56, 223.548, 3693.26, 3092
57, 228.699, 3661, 2972
58, 230.396, 3673.44, 2965
59, 233.943, 3687.81, 3177
60, 238.905, 3624.1, 3132
61, 244.124, 3686.73, 3035
62, 246.307, 3651.18, 3126
63, 249.65, 3629.98, 3037
64, 252.128, 3650.76, 3113
65, 256.996, 3639.71, 3108
66, 258.192, 3619.57, 3017
67, 260.627, 3600.22, 3069
68, 266.935, 3603.19, 2870
69, 266.82, 3588.06, 3124
70, 271.729, 3550.48, 2948
71, 274.821, 3576.87, 3056
72, 278.802, 3527.67, 2951
73, 284.508, 3543.42, 2923
74, 283.65, 3523.72, 3021
75, 287.4, 3585.33, 2965
76, 291.974, 3542.55, 2907
77, 294.549, 3553.85, 2807
78, 297.577, 3551.92, 3013
79, 300.189, 3552.83, 3076
80, 306.183, 3514.29, 3012
81, 309.689, 3534.07, 2924
82, 311.592, 3507.92, 2985
83, 321.891, 3461.32, 2978
84, 322.728, 3487.8, 2903
85, 325.197, 3440.45, 2955
86, 325.971, 3553.51, 2900
87, 325.557, 3454.7, 2855
88, 329.24, 3524.63, 2853
89, 332.638, 3492.38, 2792
90, 337.049, 3451.8, 2956
91, 331.05, 3475.45, 2889
92, 328.218, 3441.07, 2892
93, 333.738, 3433.93, 2874
94, 336.319, 3402.28, 3001
95, 347.105, 3463.73, 2923
96, 351.19, 3437.68, 2950
97, 351.626, 3406.88, 2801
98, 360.162, 3448.7, 2992
99, 358.774, 3366.1, 2914
100, 360.411, 3423.94, 2831
101, 363.627, 3435.22, 2933
