Generation,Normal Average,Memetic Average
0,96.675,102
1,96.925,102
2,97.175,102
3,97.75,102
4,98.125,102
5,98.95,102
6,99.25,102
7,99.25,102
8,99.625,102
9,99.7,102
10,99.7,102
11,99.75,102
12,99.75,102
13,100.025,102
14,100.025,102
15,100.05,102
16,100.15,102
17,100.15,102
18,100.25,102
19,100.325,102
20,100.325,102
21,100.325,102
22,100.325,102
23,100.325,102
24,100.325,102
25,100.325,102
26,100.325,102
27,100.4,102
28,100.4,102
29,100.4,102
30,100.525,102
31,100.525,102
32,100.525,102
33,100.575,102
34,100.575,102
35,100.575,102
36,100.575,102
37,100.575,102
38,100.575,102
39,100.575,102
40,100.575,102
41,100.625,102
42,100.625,102
43,100.625,102
44,100.625,102
45,100.625,102
46,100.625,102
47,100.625,102
48,100.625,102
49,100.625,102
50,100.675,102
51,100.675,102
52,100.75,102
53,100.75,102
54,100.75,102
55,100.75,102
56,100.8,102
57,100.8,102
58,100.8,102
59,100.8,102
60,100.8,102
61,100.8,102
62,100.8,102
63,100.8,102
64,100.8,102
65,100.8,102
66,100.8,102
67,100.8,102
68,100.85,102
69,100.9,102
70,100.9,102
71,100.9,102
72,100.95,102
73,100.95,102
74,100.95,102
75,100.95,102
76,100.95,102
77,100.95,102
78,100.95,102
79,100.95,102
80,100.95,102
81,100.95,102
82,100.95,102
83,100.95,102
84,101,102
85,101,102
86,101,102
87,101,102
88,101,102
89,101,102
90,101.05,102
91,101.05,102
92,101.05,102
93,101.05,102
94,101.075,102
95,101.075,102
96,101.075,102
97,101.075,102
98,101.075,102
99,101.15,102
100,101.2,102
101,101.2,102
102,101.2,102
103,101.25,102
104,101.25,102
105,101.25,102
106,101.25,102
107,101.25,102
108,101.25,102
109,101.25,102
110,101.25,102
111,101.25,102
112,101.25,102
113,101.25,102
114,101.25,102
115,101.25,102
116,101.25,102
117,101.25,102
118,101.25,102
119,101.25,102
120,101.3,102
121,101.3,102
122,101.3,102
123,101.3,102
124,101.3,102
125,101.3,102
126,101.3,102
127,101.3,102
128,101.3,102
129,101.3,102
130,101.3,102
131,101.3,102
132,101.3,102
133,101.3,102
134,101.3,102
135,101.3,102
136,101.3,102
137,101.3,102
138,101.3,102
139,101.3,102
140,101.3,102
141,101.3,102
142,101.3,102
143,101.3,102
144,101.3,102
145,101.3,102
146,101.3,102
147,101.45,102
148,101.45,102
149,101.45,102
150,101.45,102
151,101.45,102
152,101.45,102
153,101.45,102
154,101.45,102
155,101.45,102
156,101.45,102
157,101.45,102
158,101.45,102
159,101.45,102
160,101.45,102
161,101.5,102
162,101.5,102
163,101.5,102
164,101.5,102
165,101.5,102
166,101.5,102
167,101.5,102
168,101.5,102
169,101.5,102
170,101.5,102
171,101.5,102
172,101.5,102
173,101.5,102
174,101.5,102
175,101.5,102
176,101.5,102
177,101.5,102
178,101.5,102
179,101.5,102
180,101.5,102
181,101.5,102
182,101.5,102
183,101.5,102
184,101.5,102
185,101.5,102
186,101.5,102
187,101.5,102
188,101.55,102
189,101.55,102
