Generation,Normal Average,Memetic Average
0,2921.12,8963.73
1,2937.78,8963.73
2,2939.68,8963.73
3,2955.75,8963.73
4,2969.97,8963.73
5,3027.18,8963.73
6,3053.4,8963.73
7,3058.62,8963.73
8,3062.18,8963.73
9,3075,8963.73
10,3080.15,8963.73
11,3080.95,8963.73
12,3083.5,8963.73
13,3093.95,8963.73
14,3131.3,8963.73
15,3135.25,8963.73
16,3144.25,8963.73
17,3172.47,8963.73
18,3188.62,8963.73
19,3205.82,8963.73
20,3205.82,8963.73
21,3227.28,8963.73
22,3240.35,8963.73
23,3256.1,8963.73
24,3277.4,8963.73
25,3317.2,8963.73
26,3317.2,8963.73
27,3380.25,8963.73
28,3386.12,8963.73
29,3407.25,8963.73
30,3438.9,8963.73
31,3448.22,8963.73
32,3521.05,8963.73
33,3539.32,8963.73
34,3539.32,8963.73
35,3545.38,8963.73
36,3568.5,8963.73
37,3610.1,8963.73
38,3638.95,8963.73
39,3674.78,8963.73
40,3713.68,8963.73
41,3764.62,8963.73
42,3772.35,8963.73
43,3811.2,8963.73
44,3834.38,8963.73
45,3846.25,8963.73
46,3867.78,8963.73
47,3875.5,8963.73
48,3882.55,8963.73
49,3897.7,8963.73
50,3916.07,8963.73
51,3937.7,8963.73
52,3968.93,8963.73
53,4008.68,8963.73
54,4013.85,8963.73
55,4058.47,8963.73
56,4076.5,8963.73
57,4083.78,8963.73
58,4117.05,8963.73
59,4120.1,8963.73
60,4124.82,8963.73
61,4137.85,8963.73
62,4191.3,8963.73
63,4221.12,8963.73
64,4234.12,8963.73
65,4245.65,8963.73
66,4279.35,8963.73
67,4326.3,8963.73
68,4350.25,8963.73
69,4373.65,8963.73
70,4392.05,8963.73
71,4408.1,8963.73
72,4419.15,8963.73
73,4445.35,8963.73
74,4456.93,8963.73
75,4460.85,8963.73
76,4472.12,8963.73
77,4494.23,8963.73
78,4499.88,8963.73
79,4527.45,8963.73
80,4568,8963.73
81,4573.55,8963.73
82,4573.55,8963.73
83,4574.35,8963.73
84,4586.02,8963.73
85,4629.73,8963.73
86,4644.7,8963.73
87,4644.88,8963.73
88,4657.85,8963.73
89,4678.18,8963.73
90,4704.6,8963.73
91,4706.93,8963.73
92,4745.43,8963.73
93,4776.95,8963.73
94,4798.65,8963.73
95,4813.8,8963.73
96,4820.45,8963.73
97,4870.88,8963.73
98,4873.35,8963.73
99,4873.35,8963.73
100,4894.07,8963.73
101,4945.8,8963.73
102,4988.6,8963.73
103,5013.12,8963.73
104,5041.38,8963.73
105,5046.48,8963.73
106,5046.48,8963.73
107,5051.55,8963.73
108,5094.8,8963.73
109,5111.23,8963.73
110,5159.9,8963.73
111,5159.9,8963.73
112,5187.38,8963.73
113,5189.45,8963.73
114,5219.55,8963.73
115,5225.15,8963.73
116,5241.25,8963.73
117,5258.77,8963.73
118,5263.57,8963.73
119,5299.7,8963.73
120,5323.15,8963.73
121,5351.38,8963.73
122,5387.25,8963.73
123,5405.23,8963.73
124,5434.82,8963.73
125,5437.62,8963.73
126,5448.4,8963.73
127,5464.45,8963.73
128,5500,8963.73
129,5525.43,8963.73
130,5544.77,8963.73
131,5568.57,8963.73
132,5581.38,8963.73
133,5581.38,8963.73
134,5602.15,8963.73
135,5613.57,8963.73
136,5657.12,8963.73
137,5657.12,8963.73
138,5659.93,8963.73
139,5659.93,8963.73
140,5669.27,8963.73
141,5669.27,8963.73
142,5681.77,8963.73
143,5685.93,8963.73
144,5685.93,8963.73
145,5685.93,8963.73
146,5687.02,8963.73
147,5694.5,8963.73
148,5725.27,8963.73
149,5750.98,8963.73
150,5754.25,8963.73
151,5764.65,8963.73
152,5778.05,8963.73
153,5801.12,8963.73
154,5801.12,8963.73
155,5801.12,8963.73
156,5816.52,8963.73
157,5817.43,8963.73
158,5817.43,8963.73
159,5820.12,8963.73
160,5842.88,8963.73
161,5856.65,8963.73
162,5864.07,8963.73
163,5870.75,8963.73
164,5875.35,8963.73
165,5881.32,8963.73
166,5891.88,8963.73
167,5905.57,8963.73
168,5926.95,8963.73
169,5977.43,8963.73
170,6010.23,8963.73
171,6037.55,8963.73
172,6055.12,8963.73
173,6076.95,8963.73
174,6076.95,8963.73
175,6076.95,8963.73
176,6093.75,8963.73
177,6106.7,8963.73
178,6110.52,8963.73
179,6128.43,8963.73
180,6128.43,8963.73
181,6132.05,8963.73
182,6142,8963.73
183,6142,8963.73
184,6159.65,8963.73
185,6163.88,8963.73
186,6168.43,8963.73
187,6173.02,8963.73
188,6176.43,8963.73
189,6179.7,8963.73
190,6190,8963.73
191,6198.8,8963.73
192,6198.8,8963.73
193,6206.38,8963.73
194,6222.4,8963.73
195,6222.4,8963.73
196,6228.57,8963.73
197,6244.93,8963.73
198,6257.57,8963.73
199,6263.12,8963.73
200,6277.82,8963.73
201,6285.77,8963.73
202,6292.6,8963.73
203,6303.4,8963.73
204,6312.65,8963.73
205,6321.52,8963.73
206,6345.27,8963.73
207,6351.75,8963.73
208,6351.75,8963.73
209,6359.23,8963.73
210,6360.98,8963.73
211,6397.6,8963.73
212,6403.6,8963.73
213,6406.82,8963.73
214,6413.8,8963.73
215,6427.45,8963.73
216,6437.15,8963.73
217,6443.65,8963.73
218,6444.6,8963.73
219,6444.6,8963.73
220,6444.6,8963.73
221,6444.6,8963.73
222,6451.32,8963.73
223,6469.27,8963.73
224,6495.35,8963.73
225,6495.35,8963.73
226,6501.02,8963.73
227,6506.18,8963.73
228,6512.98,8963.73
229,6512.98,8963.73
230,6516.73,8963.73
231,6516.73,8963.73
232,6526.1,8963.73
233,6531.8,8963.73
234,6558.5,8963.73
235,6577.02,8963.73
236,6579.88,8963.73
237,6586,8963.73
238,6586.8,8963.73
239,6587.48,8963.73
240,6595.65,8963.73
241,6623,8963.73
242,6629.45,8963.73
243,6634.93,8963.73
244,6638.68,8963.73
245,6640.18,8963.73
246,6651.52,8963.73
247,6662.07,8963.73
248,6671.32,8963.73
249,6698.85,8963.73
250,6709.07,8963.73
251,6715.65,8963.73
252,6719.32,8963.73
253,6726.98,8963.73
254,6747.1,8963.73
255,6747.1,8963.73
256,6751.95,8963.73
257,6751.95,8963.73
258,6751.95,8963.73
259,6752.18,8963.73
260,6753.32,8963.73
261,6760.23,8963.73
262,6762.25,8963.73
263,6762.25,8963.73
264,6762.25,8963.73
265,6814.27,8963.73
266,6850.8,8963.73
267,6859.35,8963.73
268,6859.35,8963.73
269,6859.35,8963.73
270,6861.8,8963.73
271,6887.07,8963.73
272,6887.07,8963.73
273,6887.07,8963.73
274,6893.12,8963.73
275,6900.4,8963.73
276,6900.93,8963.73
277,6907.02,8963.73
278,6907.02,8963.73
279,6909.52,8963.73
280,6915.4,8963.73
281,6924.35,8963.73
282,6924.35,8963.73
283,6924.35,8963.73
284,6933.43,8963.73
285,6933.43,8963.73
286,6933.55,8963.73
287,6933.55,8963.73
288,6933.55,8963.73
289,6941.25,8963.73
290,6949.48,8963.73
291,6951.15,8963.73
292,6951.15,8963.73
293,6953.48,8963.73
294,6953.48,8963.73
295,6958,8963.73
296,6958,8963.73
297,6958.88,8963.73
298,6978.57,8963.73
299,7002.25,8963.73
300,7002.25,8963.73
301,7004.88,8963.73
302,7039.1,8963.73
303,7047.18,8963.73
304,7049.12,8963.73
305,7049.12,8963.73
306,7049.12,8963.73
307,7049.12,8963.73
308,7065.9,8963.73
309,7065.9,8963.73
310,7088.27,8963.73
311,7088.27,8963.73
312,7094.52,8963.73
313,7098.45,8963.73
314,7098.45,8963.73
315,7098.45,8963.73
316,7104.68,8963.73
317,7104.68,8963.73
318,7105.25,8963.73
319,7105.25,8963.73
320,7105.25,8963.73
321,7105.25,8963.73
322,7106.05,8963.73
323,7106.05,8963.73
324,7106.05,8963.73
325,7106.05,8963.73
326,7107.48,8963.73
327,7107.48,8963.73
328,7112.32,8963.73
329,7112.32,8963.73
330,7115.57,8963.73
331,7127.73,8963.73
332,7134.98,8963.73
333,7135.62,8963.73
334,7135.82,8963.73
335,7140.57,8963.73
336,7142.85,8963.73
337,7142.85,8963.73
338,7144.7,8963.73
339,7166.75,8963.73
340,7177.88,8963.73
341,7177.88,8963.73
342,7177.88,8963.73
343,7184.45,8963.73
344,7184.45,8963.73
345,7187.57,8963.73
346,7187.57,8963.73
347,7198.48,8963.73
348,7225.38,8963.73
349,7225.38,8963.73
350,7232.45,8963.73
351,7232.45,8963.73
352,7232.45,8963.73
353,7235.1,8963.73
354,7235.1,8963.73
355,7241.77,8963.73
356,7243.62,8963.73
357,7252.23,8963.73
358,7254.93,8963.73
359,7265.8,8963.73
360,7271.82,8963.73
361,7271.82,8963.73
362,7271.82,8963.73
363,7271.82,8963.73
364,7280.4,8963.73
365,7280.4,8963.73
366,7285.12,8963.73
367,7285.12,8963.73
368,7292.73,8963.73
369,7292.73,8963.73
370,7292.73,8963.73
371,7302.48,8963.73
372,7304.98,8963.73
373,7315.45,8963.73
374,7315.45,8963.73
375,7315.45,8963.73
376,7325.93,8963.73
377,7326.12,8963.73
378,7327.02,8963.73
379,7345.98,8963.73
380,7348.1,8963.73
381,7348.1,8963.73
382,7348.1,8963.73
383,7348.1,8963.73
384,7349.7,8963.73
385,7357.45,8963.73
386,7376.8,8963.73
387,7376.8,8963.73
388,7379.98,8963.73
389,7379.98,8963.73
390,7379.98,8963.73
391,7379.98,8963.73
392,7379.98,8963.73
393,7386.7,8963.73
394,7386.7,8963.73
395,7388.27,8963.73
396,7399.77,8963.73
397,7407.52,8963.73
398,7413.73,8963.73
399,7413.73,8963.73
400,7424.15,8963.73
401,7429,8963.73
402,7442.88,8963.73
403,7446.65,8963.73
404,7446.65,8963.73
405,7457.23,8963.73
406,7457.23,8963.73
407,7473.12,8963.73
408,7473.12,8963.73
409,7473.12,8963.73
410,7473.12,8963.73
411,7473.12,8963.73
412,7473.12,8963.73
413,7473.12,8963.73
414,7473.12,8963.73
415,7473.12,8963.73
416,7473.12,8963.73
417,7473.12,8963.73
418,7473.12,8963.73
419,7487.57,8963.73
420,7491.82,8963.73
421,7503.18,8963.73
422,7504.12,8963.73
423,7504.12,8963.73
424,7504.12,8963.73
425,7512.38,8963.73
426,7516.05,8963.73
427,7516.05,8963.73
428,7516.05,8963.73
429,7516.05,8963.73
430,7519.93,8963.73
431,7538.02,8963.73
432,7545.52,8963.73
433,7545.52,8963.73
434,7548.48,8963.73
435,7560.05,8963.73
436,7560.05,8963.73
437,7560.05,8963.73
438,7560.05,8963.73
439,7560.05,8963.73
440,7560.05,8963.73
441,7568.57,8963.73
442,7568.57,8963.73
443,7571.02,8963.73
444,7571.02,8963.73
445,7571.02,8963.73
446,7571.02,8963.73
447,7572.73,8963.73
448,7572.85,8963.73
449,7578.1,8963.73
450,7591.52,8963.73
451,7609.65,8963.73
452,7609.65,8963.73
453,7609.65,8963.73
454,7609.65,8963.73
455,7609.65,8963.73
456,7624.7,8963.73
457,7624.7,8963.73
458,7624.7,8963.73
459,7640.73,8963.73
460,7640.73,8963.73
461,7648.82,8963.73
462,7659.3,8963.73
463,7659.3,8963.73
464,7659.3,8963.73
465,7667.18,8963.73
466,7670.45,8963.73
467,7670.45,8963.73
468,7670.45,8963.73
469,7670.68,8963.73
470,7670.68,8963.73
471,7685.32,8963.73
472,7685.32,8963.73
473,7685.95,8963.73
474,7685.95,8963.73
475,7693.68,8963.73
476,7693.68,8963.73
477,7693.68,8963.73
478,7693.68,8963.73
479,7695.4,8963.73
480,7695.4,8963.73
481,7695.4,8963.73
482,7705.93,8963.73
483,7705.93,8963.73
484,7705.93,8963.73
485,7705.93,8963.73
486,7705.93,8963.73
487,7706.15,8963.73
488,7706.15,8963.73
489,7706.15,8963.73
490,7706.15,8963.73
491,7706.15,8963.73
492,7720.35,8963.73
493,7723.43,8963.73
494,7730.12,8963.73
495,7730.12,8963.73
496,7730.12,8963.73
497,7730.12,8963.73
498,7730.12,8963.73
499,7730.12,8963.73
