Generation,Normal Average,Memetic Average
0,95.675,105.55
1,97.25,105.95
2,99.3,106.225
3,100.55,106.275
4,101.075,106.325
5,101.2,106.45
6,101.375,106.55
7,102.1,106.55
8,102.1,106.55
9,102.525,106.6
10,102.6,106.65
11,102.95,106.65
12,103.075,106.75
13,103.65,106.75
14,103.925,106.8
15,104.05,106.8
16,104.575,106.8
17,104.575,106.8
18,104.575,106.8
19,104.75,106.8
20,104.75,106.8
21,104.8,106.8
22,104.8,106.8
23,104.8,106.8
24,105.2,106.8
25,105.375,106.8
26,105.375,106.8
27,105.375,106.8
28,105.675,106.8
29,105.675,106.8
30,105.675,106.85
31,105.675,106.85
32,105.75,106.85
33,106.025,106.85
34,106.1,106.85
35,106.1,106.85
36,106.225,106.85
37,106.475,106.85
38,106.475,106.85
39,106.475,106.85
40,106.475,106.85
41,106.475,106.85
42,106.475,106.85
43,106.7,106.85
44,106.75,106.85
45,106.75,106.85
46,106.75,106.85
47,106.75,106.9
48,106.75,106.9
49,106.75,106.9
50,106.75,106.9
51,106.8,106.9
52,106.85,106.9
53,106.9,106.9
54,106.9,106.9
55,106.9,106.9
56,106.9,106.9
57,106.9,106.9
58,106.95,106.9
59,106.95,106.9
60,106.95,106.9
61,106.95,106.9
62,106.95,106.9
63,106.95,106.9
64,106.95,106.9
65,106.95,106.9
66,106.95,106.9
67,106.95,106.9
68,106.95,106.9
69,106.95,106.9
70,106.95,106.95
71,106.95,106.95
72,106.95,106.95
73,106.95,106.95
74,106.95,106.95
75,106.95,106.95
76,106.95,106.95
77,107,106.95
78,107,106.95
79,107,106.95
80,107,106.95
81,107,106.95
82,107,106.95
83,107,106.95
84,107,106.95
85,107,106.95
86,107,106.95
87,107,106.95
88,107,106.95
89,107,106.95
90,107,106.95
91,107,106.95
92,107,106.95
93,107,106.95
94,107,106.95
95,107,106.95
96,107,106.95
97,107,106.95
98,107,106.95
99,107,106.95
100,107,106.95
101,107,106.95
102,107,106.95
103,107,106.95
104,107,106.95
105,107,106.95
106,107,106.95
107,107,106.95
108,107,106.95
109,107,106.95
110,107,106.95
111,107,106.95
112,107,106.95
113,107,106.95
114,107,106.95
115,107,106.95
116,107,106.95
117,107,106.95
118,107,106.95
119,107,106.95
120,107,106.95
121,107,106.95
122,107,106.95
123,107,106.95
124,107,106.95
125,107,106.95
126,107,106.95
127,107,106.95
128,107,106.95
129,107,106.95
130,107,106.95
131,107,106.95
132,107,106.95
133,107,106.95
134,107,106.95
135,107,106.95
136,107,106.95
137,107,106.95
138,107,106.95
139,107,106.95
140,107,106.95
141,107,106.95
142,107,107
143,107,107
144,107,107
145,107,107
146,107,107
147,107,107
148,107,107
149,107,107
150,107,107
151,107,107
152,107,107
153,107,107
154,107,107
155,107,107
156,107,107
157,107,107
158,107,107
159,107,107
160,107,107
161,107,107
162,107,107
163,107,107
164,107,107
165,107,107
166,107,107
167,107,107
168,107,107
169,107,107
170,107,107
171,107,107
172,107,107
173,107,107
174,107,107
175,107,107
176,107,107
177,107,107
178,107,107
179,107,107
180,107,107
181,107,107
182,107,107
183,107,107
184,107,107
185,107,107
186,107,107
187,107,107
188,107,107
189,107,107
190,107,107
191,107,107
192,107,107
193,107,107
194,107,107
195,107,107
196,107,107
197,107,107
198,107,107
199,107,107
200,107,107
201,107,107
202,107,107
203,107,107
204,107,107
205,107,107
206,107,107
207,107,107
208,107,107
209,107,107
210,107,107
211,107,107
212,107,107
213,107,107
214,107,107
215,107,107
216,107,107
217,107,107
218,107,107
219,107,107
220,107,107
221,107,107
222,107,107
223,107,107
224,107,107
225,107,107
226,107,107
227,107,107
228,107,107
229,107,107
230,107,107
231,107,107
232,107,107
233,107,107
234,107,107
235,107,107
236,107,107
237,107,107
238,107,107
239,107,107
240,107,107
241,107,107
242,107,107
243,107,107
244,107,107
245,107,107
246,107,107
247,107,107
248,107,107
249,107,107
250,107,107
251,107,107
252,107,107
253,107,107
254,107,107
255,107,107
256,107,107
257,107,107
258,107,107
259,107,107
260,107,107
261,107,107
262,107,107
263,107,107
264,107,107
265,107,107
266,107,107
267,107,107
268,107,107
269,107,107
270,107,107
271,107,107
272,107,107
273,107,107
274,107,107
275,107,107
276,107,107
277,107,107
278,107,107
279,107,107
280,107,107
281,107,107
282,107,107
283,107,107
284,107,107
285,107,107
286,107,107
287,107,107
288,107,107
289,107,107
290,107,107
291,107,107
292,107,107
293,107,107
294,107,107
295,107,107
296,107,107
297,107,107
298,107,107
299,107,107
300,107,107
301,107,107
302,107,107
303,107,107
304,107,107
305,107,107
306,107,107
307,107,107
308,107,107
309,107,107
310,107,107
311,107,107
312,107,107
313,107,107
314,107,107
315,107,107
316,107,107
317,107,107
318,107,107
319,107,107
320,107,107
321,107,107
322,107,107
323,107,107
324,107,107
325,107,107
326,107,107
327,107,107
328,107,107
329,107,107
330,107,107
331,107,107
332,107,107
333,107,107
334,107,107
335,107,107
336,107,107
337,107,107
338,107,107
339,107,107
340,107,107
341,107,107
342,107,107
343,107,107
344,107,107
345,107,107
346,107,107
347,107,107
348,107,107
349,107,107
350,107,107
351,107,107
352,107,107
353,107,107
354,107,107
355,107,107
356,107,107
357,107,107
358,107,107
359,107,107
360,107,107
361,107,107
362,107,107
363,107,107
364,107,107
365,107,107
366,107,107
367,107,107
368,107,107
369,107,107
370,107,107
371,107,107
372,107,107
373,107,107
374,107,107
375,107,107
376,107,107
377,107,107
378,107,107
379,107,107
380,107,107
381,107,107
382,107,107
383,107,107
384,107,107
385,107,107
386,107,107
387,107,107
388,107,107
389,107,107
390,107,107
