Generation,Normal Average,Memetic Average
0,2905.8,8893.58
1,2905.8,8943.12
2,2912.57,8957.6
3,2935.12,8980.27
4,2936,8992.62
5,2936,8998.8
6,2939.65,8998.8
7,2957.88,9023.5
8,2962.53,9042.02
9,3007.18,9042.02
10,3007.6,9042.02
11,3018.95,9060.55
12,3025.65,9066.73
13,3032.45,9066.73
14,3062.5,9066.73
15,3079.72,9066.73
16,3089.62,9072.9
17,3089.62,9072.9
18,3097.93,9072.9
19,3097.93,9072.9
20,3117.47,9072.9
21,3119.8,9072.9
22,3162.62,9072.9
23,3185.57,9072.9
24,3216.28,9072.9
25,3226.68,9072.9
26,3245.38,9072.9
27,3274,9072.9
28,3277.65,9079.08
29,3279.07,9079.08
30,3327.47,9079.08
31,3358.7,9085.25
32,3417.85,9085.98
33,3463.32,9092.15
34,3474.35,9092.15
35,3481.55,9092.15
36,3529.03,9092.15
37,3641.1,9092.15
38,3699.95,9092.15
39,3701.18,9092.15
40,3722.43,9092.15
41,3722.43,9098.33
42,3754.45,9098.33
43,3767.18,9098.33
44,3767.18,9098.33
45,3808.62,9098.33
46,3808.62,9098.33
47,3840.5,9098.33
48,3868,9098.33
49,3941.9,9098.33
50,3954.3,9098.33
51,3954.3,9098.33
52,3966.1,9098.33
53,4018.8,9098.33
54,4029.6,9098.33
55,4077.82,9104.5
56,4098.55,9105.23
57,4116.85,9105.23
58,4153.23,9105.23
59,4164.65,9105.23
60,4178,9105.23
61,4226.77,9105.23
62,4233.8,9105.23
63,4249.43,9105.23
64,4283.57,9105.23
65,4299.05,9105.23
66,4326.73,9105.23
67,4385.6,9105.23
68,4403.73,9105.23
69,4435.95,9105.23
70,4503.38,9105.23
71,4560.23,9105.23
72,4589.68,9105.23
73,4590.77,9105.23
74,4624.7,9105.23
75,4650.55,9105.23
76,4698.38,9105.23
77,4728.65,9105.23
78,4748,9105.23
79,4795.52,9105.23
80,4815.35,9105.23
81,4824.6,9105.23
82,4839.95,9105.23
83,4860.82,9105.23
84,4884.02,9105.23
85,4942.4,9105.23
86,5001.62,9105.23
87,5015.27,9105.23
88,5048.77,9105.23
89,5072.02,9105.23
90,5101.62,9105.23
91,5101.62,9105.23
92,5116.57,9105.23
93,5128.6,9105.23
94,5145.5,9105.23
95,5181.93,9105.23
96,5223.35,9105.23
97,5231.85,9105.23
98,5231.85,9105.23
99,5281.05,9105.23
100,5282.15,9105.23
101,5286.35,9105.23
102,5333.3,9105.23
103,5337.07,9105.23
104,5340.32,9105.23
105,5385.45,9105.23
106,5400.05,9105.23
107,5427.18,9105.23
108,5450.75,9105.23
109,5456.1,9105.23
110,5458.95,9105.23
111,5518.57,9105.23
112,5549.8,9105.23
113,5591.88,9105.23
114,5594.7,9110.67
115,5594.7,9110.67
116,5599.73,9110.67
117,5613.23,9110.67
118,5629.25,9110.67
119,5649.6,9110.67
120,5669.1,9110.67
121,5715.98,9110.67
122,5743.52,9110.67
123,5775.32,9110.67
124,5808.93,9110.67
125,5825.82,9110.67
126,5843.9,9110.67
127,5922.5,9110.67
128,5978.38,9110.67
129,5989.98,9110.67
130,6008.57,9110.67
131,6023.45,9110.67
132,6052.02,9110.67
133,6052.18,9110.67
134,6069.27,9110.67
135,6106,9110.67
136,6115.77,9110.67
137,6127.35,9110.67
138,6129.52,9110.67
139,6139.93,9110.67
140,6159.07,9110.67
141,6190.18,9110.67
142,6191.8,9110.67
143,6209.9,9110.67
144,6223.9,9110.67
145,6228.7,9110.67
146,6228.7,9110.67
147,6235.6,9110.67
148,6246.43,9110.67
149,6262.65,9110.67
150,6266.77,9111.4
151,6276.75,9111.4
152,6316.52,9111.4
153,6326.57,9111.4
154,6326.57,9111.4
155,6337.18,9111.4
156,6348.07,9111.4
157,6358.45,9111.4
158,6413.5,9111.4
159,6431.65,9111.4
160,6435.6,9111.4
161,6436.93,9111.4
162,6438.9,9111.4
163,6439.15,9111.4
164,6445.88,9111.4
165,6493.62,9111.4
166,6504.48,9111.4
167,6562.93,9111.4
168,6588.95,9111.4
169,6597.05,9111.4
170,6597.05,9111.4
171,6608.77,9111.4
172,6612.5,9111.4
173,6625,9111.4
174,6637.95,9111.4
175,6640.55,9111.4
176,6660.52,9111.4
177,6660.52,9111.4
178,6662.43,9111.4
179,6670.23,9111.4
180,6685.25,9111.4
181,6708.3,9111.4
182,6737.8,9111.4
183,6769.62,9111.4
184,6778.98,9111.4
185,6787.65,9111.4
186,6790.12,9111.4
187,6801.65,9111.4
188,6824.35,9111.4
189,6830.43,9111.4
190,6843.62,9111.4
191,6848.38,9111.4
192,6862.73,9111.4
193,6862.73,9111.4
194,6906.4,9111.4
195,6933.18,9111.4
196,6933.18,9111.4
197,6942.05,9111.4
198,6965.77,9111.4
199,6965.9,9111.4
200,6970.38,9111.4
201,6970.43,9111.4
202,6970.43,9111.4
203,6976.1,9111.4
204,7008.27,9111.4
205,7008.27,9111.4
206,7008.27,9111.4
207,7009.8,9111.4
208,7039.8,9111.4
209,7039.8,9111.4
210,7056.32,9111.4
211,7081.93,9111.4
