Generation,Normal Average,Memetic Average
0,258.95,295
1,261.9,295
2,264.75,295
3,268.575,295
4,271.1,295
5,275.175,295
6,280.525,295
7,280.85,295
8,281.9,295
9,283.175,295
10,283.725,295
11,283.875,295
12,285.15,295
13,286.4,295
14,287.4,295
15,287.825,295
16,288.925,295
17,289.075,295
18,289.075,295
19,289.075,295
20,289.1,295
21,289.1,295
22,289.175,295
23,289.275,295
24,289.5,295
25,289.5,295
26,289.5,295
27,289.5,295
28,289.775,295
29,289.775,295
30,289.775,295
31,289.825,295
32,289.85,295
33,289.875,295
34,289.9,295
35,289.9,295
36,289.95,295
37,291,295
38,291.025,295
39,291.025,295
40,291.05,295
41,291.05,295
42,291.05,295
43,291.05,295
44,291.125,295
45,291.125,295
46,292.125,295
47,292.125,295
48,292.125,295
49,292.125,295
50,292.25,295
51,292.25,295
52,292.275,295
53,292.275,295
54,292.275,295
55,292.325,295
56,292.325,295
57,292.35,295
58,292.35,295
59,292.35,295
60,292.35,295
61,292.35,295
62,292.4,295
63,292.4,295
64,292.4,295
65,292.4,295
66,292.4,295
67,292.45,295
68,292.45,295
69,292.45,295
70,292.45,295
71,292.475,295
72,292.475,295
73,292.475,295
74,292.475,295
75,292.475,295
76,292.475,295
77,292.475,295
78,292.5,295
79,292.5,295
80,292.825,295
81,292.825,295
82,292.825,295
83,293.75,295
84,293.75,295
85,293.825,295
86,293.825,295
87,293.875,295
88,293.875,295
89,294,295
90,294,295
91,294,295
92,294.2,295
93,294.2,295
94,294.2,295
95,294.2,295
96,294.2,295
97,294.2,295
98,294.225,295
99,294.25,295
100,294.25,295
101,294.25,295
102,294.275,295
103,294.275,295
104,294.275,295
105,294.275,295
106,294.275,295
107,294.275,295
108,294.275,295
109,294.275,295
110,294.275,295
111,294.3,295
112,294.325,295
113,294.35,295
114,294.35,295
115,294.375,295
116,294.375,295
117,294.375,295
118,294.375,295
119,294.375,295
120,294.375,295
121,294.375,295
122,294.375,295
123,294.375,295
124,294.375,295
125,294.375,295
126,294.375,295
127,294.375,295
128,294.375,295
129,294.375,295
130,294.375,295
131,294.375,295
132,294.375,295
133,294.375,295
134,294.375,295
135,294.375,295
136,294.375,295
137,294.375,295
138,294.375,295
139,294.375,295
140,294.375,295
141,294.375,295
142,294.375,295
143,294.375,295
144,294.375,295
145,294.4,295
146,294.4,295
147,294.4,295
148,294.4,295
149,294.4,295
150,294.4,295
151,294.4,295
152,294.4,295
153,294.4,295
154,294.4,295
155,294.4,295
156,294.425,295
157,294.425,295
158,294.475,295
159,294.475,295
160,294.475,295
161,294.475,295
162,294.6,295
163,294.6,295
164,294.6,295
165,294.6,295
166,294.6,295
167,294.6,295
168,294.6,295
169,294.6,295
170,294.6,295
171,294.6,295
172,294.6,295
173,294.6,295
174,294.6,295
175,294.6,295
