Generation,Normal Average,Memetic Average
0,2966.93,8924.45
1,2966.93,8969.9
2,2967.95,8996.67
3,2971.1,9013.17
4,2973.18,9039.95
5,2976.32,9060.55
6,2976.32,9066.73
7,2977.3,9079.08
8,2979.12,9097.6
9,2998.7,9097.6
10,3005.88,9098.33
11,3066.53,9098.33
12,3092.65,9098.33
13,3094.1,9104.5
14,3119.47,9110.67
15,3127.07,9116.85
16,3166.03,9116.85
17,3179.7,9116.85
18,3189.8,9116.85
19,3203.22,9116.85
20,3216.05,9116.85
21,3236.82,9116.85
22,3259.07,9123.02
23,3311.07,9129.2
24,3366.35,9129.2
25,3387.1,9129.2
26,3395.62,9129.2
27,3435.72,9129.2
28,3492.9,9129.2
29,3497.32,9129.2
30,3497.32,9129.2
31,3518.93,9129.2
32,3564.7,9129.2
33,3600.95,9129.2
34,3634.85,9129.2
35,3634.85,9129.2
36,3653.85,9129.2
37,3684.3,9129.2
38,3705.45,9129.2
39,3752.53,9129.2
40,3789.07,9129.2
41,3807.82,9129.2
42,3832.68,9129.2
43,3832.68,9129.2
44,3875.53,9129.2
45,3924.2,9129.2
46,3927.6,9129.2
47,3927.6,9129.2
48,3954.35,9129.2
49,3990.32,9129.2
50,4006.75,9129.2
51,4029.43,9129.2
52,4093.88,9129.2
53,4138.38,9129.2
54,4153.12,9129.2
55,4175.7,9129.2
56,4225.7,9129.2
57,4294.35,9129.2
58,4353.95,9129.2
59,4417.07,9129.2
60,4450.32,9129.2
61,4452.43,9129.2
62,4480.8,9129.2
63,4491.38,9129.2
64,4517.75,9129.2
65,4533.5,9129.2
66,4566.07,9129.2
67,4589.27,9129.2
68,4643.62,9129.2
69,4652.68,9129.2
70,4731.65,9129.2
71,4748.8,9129.2
72,4799.88,9129.2
73,4808.93,9129.2
74,4809.75,9129.2
75,4809.8,9129.2
76,4852.73,9129.2
77,4889.98,9129.2
78,4905.57,9129.2
79,4932.25,9129.2
80,4957.2,9129.2
81,4975.65,9129.2
82,4996.3,9129.2
83,4997.73,9135.38
84,5079.9,9135.38
85,5121.4,9135.38
86,5133.25,9135.38
87,5138.48,9135.38
88,5150.6,9135.38
89,5161.27,9135.38
90,5173.57,9135.38
91,5207.07,9135.38
92,5228.88,9135.38
93,5237.98,9135.38
94,5252.43,9135.38
95,5252.43,9135.38
96,5296.88,9135.38
97,5354.3,9135.38
98,5389.25,9135.38
99,5429.68,9135.38
100,5429.68,9135.38
101,5431.32,9135.38
102,5472.77,9135.38
103,5546.65,9135.38
104,5547.25,9135.38
105,5547.25,9135.38
106,5579.43,9135.38
107,5616.55,9135.38
108,5622.4,9135.38
109,5660.05,9135.38
110,5691.8,9135.38
111,5691.8,9135.38
112,5710.1,9135.38
113,5710.1,9135.38
114,5741.23,9135.38
115,5748.32,9135.38
116,5760.2,9135.38
117,5772.48,9135.38
118,5789.62,9135.38
119,5810.98,9135.38
120,5830.18,9135.38
121,5850.4,9135.38
122,5860.45,9135.38
123,5864.15,9135.38
124,5921.2,9135.38
125,5929.43,9135.38
126,5963.6,9135.38
127,5973,9135.38
128,6025.38,9135.38
129,6084.27,9135.38
130,6084.27,9135.38
131,6084.27,9135.38
132,6127.07,9135.38
133,6160.45,9135.38
134,6183.1,9135.38
135,6190.32,9135.38
136,6208.25,9135.38
137,6245.9,9135.38
138,6325.82,9135.38
139,6332.77,9135.38
140,6345.07,9135.38
141,6345.07,9135.38
142,6353.12,9135.38
143,6381.35,9135.38
144,6396.43,9135.38
145,6397.55,9135.38
146,6404.6,9135.38
147,6406.68,9135.38
148,6433.05,9135.38
149,6433.05,9135.38
150,6451.88,9135.38
151,6492.6,9135.38
152,6492.6,9135.38
153,6492.6,9135.38
154,6498.43,9135.38
155,6516.75,9135.38
156,6538.73,9135.38
157,6555.93,9135.38
158,6561.52,9135.38
159,6574.65,9135.38
160,6583.65,9135.38
161,6615.55,9135.38
162,6617.5,9135.38
163,6619.62,9135.38
164,6632.27,9135.38
165,6639.95,9135.38
166,6639.95,9135.38
167,6653.02,9135.38
168,6655.48,9135.38
169,6665.98,9135.38
170,6669.57,9135.38
171,6675.12,9135.38
172,6701.77,9135.38
173,6701.77,9135.38
174,6741.65,9135.38
175,6751.62,9135.38
176,6759.8,9135.38
177,6764.73,9135.38
178,6769.43,9135.38
179,6787.93,9135.38
180,6794.88,9135.38
181,6804.4,9135.38
182,6830.75,9135.38
183,6835,9135.38
184,6866.05,9135.38
185,6874.3,9135.38
186,6928.65,9135.38
187,6936.57,9135.38
188,6944.38,9135.38
189,6965.23,9135.38
190,6969.62,9135.38
191,7001.62,9135.38
192,7002.05,9135.38
193,7004.48,9135.38
194,7024.3,9135.38
195,7031.85,9135.38
196,7059.62,9135.38
197,7074.75,9135.38
198,7074.75,9135.38
199,7092.62,9135.38
200,7126.5,9135.38
201,7131.68,9135.38
202,7146.38,9135.38
203,7153.07,9135.38
204,7156.35,9135.38
205,7156.35,9135.38
206,7156.35,9135.38
207,7158.27,9135.38
208,7161.1,9135.38
209,7163.62,9135.38
210,7167.77,9135.38
211,7211.68,9135.38
212,7213.52,9135.38
213,7213.52,9135.38
214,7232.3,9135.38
215,7232.3,9135.38
216,7245.85,9135.38
217,7245.85,9135.38
218,7248.65,9135.38
219,7266.9,9135.38
220,7266.9,9135.38
221,7266.9,9135.38
222,7266.9,9135.38
223,7278.02,9135.38
224,7284.12,9135.38
225,7284.12,9135.38
226,7288.68,9135.38
227,7288.68,9135.38
228,7291.88,9135.38
229,7296.4,9135.38
230,7302.38,9135.38
231,7312.8,9135.38
232,7312.8,9135.38
233,7314.15,9135.38
234,7331.25,9135.38
235,7341.12,9135.38
236,7352.55,9135.38
237,7352.55,9135.38
238,7352.68,9135.38
239,7356.8,9135.38
240,7364.3,9135.38
241,7369.07,9135.38
242,7373.68,9135.38
243,7387.55,9135.38
244,7406.35,9135.38
245,7406.35,9135.38
246,7425.6,9135.38
247,7428.05,9135.38
248,7433.88,9135.38
249,7433.88,9135.38
250,7447.7,9135.38
251,7447.7,9135.38
252,7447.7,9135.38
253,7461.52,9135.38
254,7469.07,9135.38
255,7478.65,9135.38
256,7484.4,9135.38
257,7488.98,9135.38
258,7489.68,9135.38
259,7489.68,9135.38
260,7495.85,9135.38
261,7508.85,9135.38
262,7529.55,9135.38
263,7530.32,9135.38
264,7530.32,9135.38
265,7552.65,9135.38
266,7552.65,9135.38
267,7581.48,9135.38
268,7581.48,9135.38
269,7592.65,9135.38
270,7592.65,9135.38
271,7592.65,9135.38
272,7601.55,9135.38
273,7603.62,9135.38
274,7603.62,9135.38
275,7623.43,9135.38
276,7626.57,9135.38
277,7626.57,9135.38
278,7656.68,9135.38
279,7656.68,9135.38
280,7656.68,9135.38
281,7659.27,9135.38
282,7662.07,9135.38
283,7664.88,9135.38
284,7669.57,9135.38
285,7669.57,9135.38
286,7669.57,9135.38
287,7676.43,9135.38
288,7676.43,9135.38
289,7698.27,9135.38
290,7698.27,9135.38
291,7702.98,9135.38
292,7702.98,9135.38
293,7711.55,9135.38
294,7727.18,9135.38
295,7727.18,9135.38
296,7749.8,9135.38
297,7749.8,9135.38
298,7754.32,9135.38
299,7754.32,9135.38
300,7755.07,9135.38
301,7758.32,9135.38
302,7758.32,9135.38
303,7766.45,9135.38
304,7789.1,9135.38
305,7789.1,9135.38
306,7798.48,9135.38
307,7798.48,9135.38
308,7798.48,9135.38
309,7806.9,9135.38
310,7827.93,9135.38
311,7833.1,9135.38
312,7833.1,9135.38
313,7840.85,9135.38
314,7842.57,9135.38
315,7842.57,9135.38
316,7842.57,9135.38
317,7845.07,9135.38
318,7845.07,9135.38
319,7845.07,9135.38
320,7845.07,9135.38
321,7845.07,9135.38
322,7855.3,9135.38
323,7855.3,9135.38
324,7856.6,9135.38
325,7856.6,9135.38
326,7856.6,9135.38
327,7866.38,9135.38
328,7866.38,9135.38
329,7879.4,9135.38
330,7886.3,9135.38
331,7886.3,9135.38
332,7886.3,9135.38
333,7886.3,9135.38
334,7904,9135.38
335,7907.7,9135.38
336,7907.7,9135.38
337,7907.7,9135.38
338,7911.1,9135.38
339,7911.1,9135.38
340,7911.1,9135.38
341,7911.1,9135.38
342,7911.1,9135.38
343,7911.1,9135.38
344,7911.1,9135.38
345,7911.1,9135.38
346,7913.55,9135.38
347,7917.43,9135.38
348,7917.43,9135.38
349,7917.43,9135.38
350,7917.43,9135.38
351,7917.43,9135.38
352,7917.43,9135.38
353,7917.43,9135.38
354,7917.43,9135.38
355,7917.6,9135.38
356,7921.5,9135.38
357,7921.5,9135.38
358,7921.5,9135.38
359,7929.77,9135.38
360,7940.05,9135.38
361,7940.05,9135.38
362,7940.05,9135.38
363,7944.3,9135.38
364,7944.3,9135.38
365,7944.3,9135.38
366,7944.3,9135.38
367,7944.3,9135.38
368,7944.3,9135.38
369,7944.3,9135.38
370,7949.23,9135.38
371,7970.5,9135.38
372,7978.07,9135.38
373,7978.07,9135.38
374,7978.07,9135.38
375,7985.43,9135.38
376,7989.23,9135.38
377,7994.43,9135.38
378,7994.43,9135.38
379,8006.43,9135.38
380,8006.43,9135.38
381,8006.43,9135.38
382,8013.95,9135.38
383,8021.85,9135.38
384,8038.52,9135.38
385,8042,9135.38
386,8042,9135.38
387,8042,9135.38
388,8042.5,9135.38
389,8042.5,9135.38
390,8042.5,9135.38
391,8042.5,9135.38
392,8042.5,9135.38
393,8042.5,9135.38
394,8042.5,9135.38
395,8042.5,9135.38
396,8042.5,9135.38
397,8042.5,9135.38
398,8043.8,9135.38
399,8045.88,9135.38
400,8045.88,9135.38
401,8045.88,9135.38
402,8052.95,9135.38
403,8052.95,9135.38
404,8052.95,9135.38
405,8052.95,9135.38
406,8052.95,9135.38
407,8069.32,9135.38
408,8070.43,9135.38
409,8070.43,9135.38
410,8087.07,9135.38
411,8098.45,9135.38
412,8098.45,9135.38
413,8098.45,9135.38
414,8102.7,9135.38
415,8102.7,9135.38
416,8110.82,9135.38
417,8110.82,9135.38
418,8116,9135.38
419,8116,9135.38
420,8116,9135.38
421,8116,9135.38
422,8116,9135.38
423,8116,9135.38
424,8116,9135.38
425,8116,9135.38
426,8116.77,9135.38
