Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00015005,130,100,5,0.5,0.05,1,0
0.000149,130,100,5,0.5,0.06,1,0
0.00014905,130,100,5,0.5,0.07,1,0
0.0001552,130,100,5,0.5,0.08,1,0
0.0001483,130,100,5,0.5,0.09,1,0
0.0001486,130,100,5,0.5,0.1,1,0
0.00014855,130,100,5,0.6,0.05,1,0
0.00014755,130,100,5,0.6,0.06,1,0
0.00014975,130,100,5,0.6,0.07,1,0
0.0001517,130,100,5,0.6,0.08,1,0
0.00014875,130,100,5,0.6,0.09,1,0
0.0001504,130,100,5,0.6,0.1,1,0
0.0001479,130,100,5,0.7,0.05,1,0
0.00014915,130,100,5,0.7,0.06,1,0
0.0001536,130,100,5,0.7,0.07,1,0
0.000148,130,100,5,0.7,0.08,1,0
0.00014955,130,100,5,0.7,0.09,1,0
0.0001478,130,100,5,0.7,0.1,1,0
0.0001483,130,100,5,0.8,0.05,1,0
0.0001509,130,100,5,0.8,0.06,1,0
0.0001519,130,100,5,0.8,0.07,1,0
0.00014955,130,100,5,0.8,0.08,1,0
0.00014895,130,100,5,0.8,0.09,1,0
0.0001485,130,100,5,0.8,0.1,1,0
0.0001483,130,100,5,0.9,0.05,1,0
0.00015445,130,100,5,0.9,0.06,1,0
0.0001487,130,100,5,0.9,0.07,1,0
0.0001481,130,100,5,0.9,0.08,1,0
0.00014835,130,100,5,0.9,0.09,1,0
0.0001482,130,100,5,0.9,0.1,1,0
0.00028365,130,200,5,0.5,0.05,1,0
0.0002767,130,200,5,0.5,0.06,1,0
0.0002798,130,200,5,0.5,0.07,1,0
0.00028355,130,200,5,0.5,0.08,1,0
0.0002793,130,200,5,0.5,0.09,1,0
0.0002782,130,200,5,0.5,0.1,1,0
0.00028295,130,200,5,0.6,0.05,1,0
0.0002767,130,200,5,0.6,0.06,1,0
0.00028015,130,200,5,0.6,0.07,1,0
0.00028925,130,200,5,0.6,0.08,1,0
0.0002829,130,200,5,0.6,0.09,1,0
0.00027755,130,200,5,0.6,0.1,1,0
0.0002879,130,200,5,0.7,0.05,1,0
0.00027755,130,200,5,0.7,0.06,1,0
0.000279,130,200,5,0.7,0.07,1,0
0.0002849,130,200,5,0.7,0.08,1,0
0.0002793,130,200,5,0.7,0.09,1,0
0.00027775,130,200,5,0.7,0.1,1,0
0.0002887,130,200,5,0.8,0.05,1,0
0.00028025,130,200,5,0.8,0.06,1,0
0.00027745,130,200,5,0.8,0.07,1,0
0.0002853,130,200,5,0.8,0.08,1,0
0.0002797,130,200,5,0.8,0.09,1,0
0.0002814,130,200,5,0.8,0.1,1,0
0.00028245,130,200,5,0.9,0.05,1,0
0.0002791,130,200,5,0.9,0.06,1,0
0.00027715,130,200,5,0.9,0.07,1,0
0.00028125,130,200,5,0.9,0.08,1,0
0.00027865,130,200,5,0.9,0.09,1,0
0.0002763,130,200,5,0.9,0.1,1,0
0.00041025,130,300,5,0.5,0.05,1,0
0.0004109,130,300,5,0.5,0.06,1,0
0.0004126,130,300,5,0.5,0.07,1,0
0.00040555,130,300,5,0.5,0.08,1,0
0.00042175,130,300,5,0.5,0.09,1,0
0.00041655,130,300,5,0.5,0.1,1,0
0.00042065,130,300,5,0.6,0.05,1,0
0.00041445,130,300,5,0.6,0.06,1,0
0.00041775,130,300,5,0.6,0.07,1,0
0.00040845,130,300,5,0.6,0.08,1,0
0.00041375,130,300,5,0.6,0.09,1,0
0.00040745,130,300,5,0.6,0.1,1,0
0.00041035,130,300,5,0.7,0.05,1,0
0.0004097,130,300,5,0.7,0.06,1,0
0.00041275,130,300,5,0.7,0.07,1,0
0.0004105,130,300,5,0.7,0.08,1,0
0.0004145,130,300,5,0.7,0.09,1,0
0.000407,130,300,5,0.7,0.1,1,0
0.00041345,130,300,5,0.8,0.05,1,0
0.00040735,130,300,5,0.8,0.06,1,0
0.000414,130,300,5,0.8,0.07,1,0
0.0004087,130,300,5,0.8,0.08,1,0
0.00041285,130,300,5,0.8,0.09,1,0
0.00041085,130,300,5,0.8,0.1,1,0
0.00041265,130,300,5,0.9,0.05,1,0
0.00040545,130,300,5,0.9,0.06,1,0
0.00041175,130,300,5,0.9,0.07,1,0
0.00040805,130,300,5,0.9,0.08,1,0
0.00041385,130,300,5,0.9,0.09,1,0
0.0004081,130,300,5,0.9,0.1,1,0
0.000294,130,100,10,0.5,0.05,1,0
0.00029215,130,100,10,0.5,0.06,1,0
0.00029215,130,100,10,0.5,0.07,1,0
0.00029765,130,100,10,0.5,0.08,1,0
0.00029155,130,100,10,0.5,0.09,1,0
0.0002923,130,100,10,0.5,0.1,1,0
0.00029695,130,100,10,0.6,0.05,1,0
0.0002927,130,100,10,0.6,0.06,1,0
0.0002935,130,100,10,0.6,0.07,1,0
0.0002964,130,100,10,0.6,0.08,1,0
0.0002939,130,100,10,0.6,0.09,1,0
0.00029875,130,100,10,0.6,0.1,1,0
0.00029865,130,100,10,0.7,0.05,1,0
0.0003088,130,100,10,0.7,0.06,1,0
0.0003059,130,100,10,0.7,0.07,1,0
0.00030285,130,100,10,0.7,0.08,1,0
0.00029965,130,100,10,0.7,0.09,1,0
