Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00959415,3938,100,100,0.5,0.05,10,0
0.00965025,3852,100,100,0.5,0.06,10,0
0.0097991,3350,100,100,0.5,0.07,10,0
0.009814,4102,100,100,0.5,0.08,10,0
0.0096851,3713,100,100,0.5,0.09,10,0
0.00968665,4117,100,100,0.5,0.1,10,0
0.0100099,3842,100,100,0.6,0.05,10,0
0.0099599,3557,100,100,0.6,0.06,10,0
0.00996285,4425,100,100,0.6,0.07,10,0
0.0100219,3854,100,100,0.6,0.08,10,0
0.0100681,4215,100,100,0.6,0.09,10,0
0.00998605,3369,100,100,0.6,0.1,10,0
0.0102816,4011,100,100,0.7,0.05,10,0
0.0103284,3339,100,100,0.7,0.06,10,0
0.0103273,4291,100,100,0.7,0.07,10,0
0.0104607,3270,100,100,0.7,0.08,10,0
0.0103606,4300,100,100,0.7,0.09,10,0
0.0104066,4049,100,100,0.7,0.1,10,0
0.010636,3491,100,100,0.8,0.05,10,0
0.0105919,3982,100,100,0.8,0.06,10,0
0.0106542,4016,100,100,0.8,0.07,10,0
0.0106864,3828,100,100,0.8,0.08,10,0
0.0106135,3510,100,100,0.8,0.09,10,0
0.0106765,3744,100,100,0.8,0.1,10,0
0.0109436,4128,100,100,0.9,0.05,10,0
0.0109687,4448,100,100,0.9,0.06,10,0
0.0109617,4419,100,100,0.9,0.07,10,0
0.0110368,3431,100,100,0.9,0.08,10,0
0.0110767,4430,100,100,0.9,0.09,10,0
0.0110796,3999,100,100,0.9,0.1,10,0
0.018626,3544,200,100,0.5,0.05,10,0
0.0186399,3735,200,100,0.5,0.06,10,0
0.0187716,3759,200,100,0.5,0.07,10,0
0.0187228,3413,200,100,0.5,0.08,10,0
0.0187693,3799,200,100,0.5,0.09,10,0
0.0188198,4915,200,100,0.5,0.1,10,0
0.0193191,4440,200,100,0.6,0.05,10,0
0.019398,3977,200,100,0.6,0.06,10,0
0.0193709,3500,200,100,0.6,0.07,10,0
0.0193213,3676,200,100,0.6,0.08,10,0
0.0193667,3678,200,100,0.6,0.09,10,0
0.0194276,4041,200,100,0.6,0.1,10,0
0.0199465,4131,200,100,0.7,0.05,10,0
0.0199949,4496,200,100,0.7,0.06,10,0
0.0200687,4049,200,100,0.7,0.07,10,0
0.0201417,4241,200,100,0.7,0.08,10,0
0.0199907,3768,200,100,0.7,0.09,10,0
0.0201973,3701,200,100,0.7,0.1,10,0
0.0205363,4953,200,100,0.8,0.05,10,0
0.0206867,4281,200,100,0.8,0.06,10,0
0.0207108,3928,200,100,0.8,0.07,10,0
0.0207591,3721,200,100,0.8,0.08,10,0
0.0205712,4114,200,100,0.8,0.09,10,0
0.0208572,3401,200,100,0.8,0.1,10,0
0.0212645,3671,200,100,0.9,0.05,10,0
0.0211858,3637,200,100,0.9,0.06,10,0
0.0212575,3551,200,100,0.9,0.07,10,0
0.0214407,3461,200,100,0.9,0.08,10,0
0.0213897,3900,200,100,0.9,0.09,10,0
0.0213198,3423,200,100,0.9,0.1,10,0
0.0275885,3804,300,100,0.5,0.05,10,0
0.0275125,3412,300,100,0.5,0.06,10,0
0.0276338,4742,300,100,0.5,0.07,10,0
0.0277876,5293,300,100,0.5,0.08,10,0
0.0277278,4194,300,100,0.5,0.09,10,0
0.0277218,5398,300,100,0.5,0.1,10,0
0.028502,3783,300,100,0.6,0.05,10,0
0.0287201,3313,300,100,0.6,0.06,10,0
0.0287204,4429,300,100,0.6,0.07,10,0
0.0284517,4420,300,100,0.6,0.08,10,0
0.0287152,3830,300,100,0.6,0.09,10,0
0.028627,3660,300,100,0.6,0.1,10,0
0.0295006,3654,300,100,0.7,0.05,10,0
0.0296682,3943,300,100,0.7,0.06,10,0
0.0296618,4217,300,100,0.7,0.07,10,0
